,000002sz,000063sz,000651sz,000858sz,002460sz,002594sz,002841sz,300144sz,300498sz,600111sh,600309sh,600398sh,600436sh,600585sh,600893sh,600900sh,601088sh,601100sh,601360sh,603986sh
datetime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exchflg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Code,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Code_Mkt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qdate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QTime,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InstrumentStatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trdirec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PrevClPr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OpPr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HiPr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LoPr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tprice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tvolume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tsum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tdeals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TVolume_accu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TSum_accu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tdeals_accu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TotBidVol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WghtAvgBidPr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TotAskVol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WghtAvgAskPr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Absspread,0,0,0,0,6,0,3003,0,0,8133,356,0,0,0,5265,0,0,0,2981,0
Respread,0,0,0,0,6,0,3003,0,0,8133,356,0,0,0,5265,0,0,0,2981,0
Abseffspread,0,0,0,0,6,0,3003,0,0,8133,356,0,0,0,5265,0,0,0,2981,0
Reeffspread,0,0,0,0,6,0,3003,0,0,8133,356,0,0,0,5265,0,0,0,2981,0
Depth1,0,0,0,0,6,0,3003,0,0,8133,356,0,0,0,5265,0,0,0,2981,0
Depth2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr1,0,0,0,0,6,0,0,0,0,66,0,0,0,0,3619,0,0,0,0,0
BidVol1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr1,0,0,0,0,0,0,3003,0,0,8067,356,0,0,0,1646,0,0,0,2981,0
AskVol1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr2,0,0,0,0,7,0,0,0,0,119,0,0,0,0,4102,0,0,0,0,0
BidVol2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr2,0,0,0,0,12,0,3028,0,0,8962,403,0,0,0,1772,0,0,4,3281,0
AskVol2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr3,0,0,0,0,7,0,0,0,0,202,0,0,0,0,4212,0,0,0,0,0
BidVol3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr3,0,0,0,0,32,0,3038,0,0,9210,470,0,0,0,1880,0,0,12,3462,0
AskVol3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr4,0,0,0,0,7,0,0,0,0,266,0,0,0,0,4276,0,0,0,0,0
BidVol4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr4,0,0,0,0,71,0,3047,0,0,9466,539,0,0,0,1937,0,0,12,3541,0
AskVol4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr5,0,0,0,0,9,0,0,0,0,325,0,0,0,0,4346,0,0,0,0,0
BidVol5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr5,0,0,0,0,103,0,3054,0,0,9654,622,0,0,0,1973,0,0,17,3593,0
AskVol5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr6,0,0,0,0,13,0,0,0,0,379,0,0,0,0,4389,0,0,0,0,0
BidVol6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr6,0,0,0,0,138,0,3062,0,0,9726,671,0,0,0,2001,0,0,18,3621,0
AskVol6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr7,0,0,0,0,15,0,0,0,0,428,0,0,0,0,4417,0,0,0,0,0
BidVol7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr7,0,0,0,0,167,0,3064,0,0,9859,712,0,0,0,2027,0,0,19,3639,0
AskVol7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr8,0,0,0,0,17,0,0,0,0,525,0,0,0,0,4452,0,0,0,0,0
BidVol8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr8,0,0,0,0,188,0,3066,0,0,9987,750,0,0,0,2058,0,0,19,3660,0
AskVol8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr9,0,0,0,0,24,0,0,0,0,665,0,0,0,0,4488,0,0,0,0,0
BidVol9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr9,0,0,0,0,216,0,3066,0,0,10109,793,0,0,0,2094,0,0,20,3681,0
AskVol9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BidPr10,0,0,0,0,28,0,0,0,0,727,0,0,0,0,4520,0,0,0,0,0
BidVol10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AskPr10,0,0,0,0,231,0,3066,0,0,10193,829,0,0,0,2113,0,0,22,3696,0
AskVol10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
