,-1,0,1
000002sz,33802,28562,32360
000063sz,37276,22813,34636
000651sz,38362,20839,35524
000858sz,42573,8360,43792
002460sz,45290,5026,44409
002594sz,45265,4052,45408
002841sz,31002,17607,31239
300144sz,31166,33676,29334
300498sz,21947,51701,20810
600111sh,31791,31539,31493
600309sh,43122,8575,43138
600398sh,8509,69462,8188
600436sh,41908,10004,43088
600585sh,35396,25789,33604
600893sh,42393,12514,39863
600900sh,19858,55831,19232
601088sh,26646,43018,25281
601100sh,44996,9874,40052
601360sh,28153,39567,27288
603986sh,43621,7781,43437
