Model,End Date,Label 0 distr.,Accuracy,Precision,Recall,F1
Logistic Regression (SGD),2021-11-9,0.6515,0.61,0.46699538730714174,0.842467718794835,0.6009005321326238
Logistic Regression (SGD),2021-11-10,0.6485,0.6107,0.46932814021421615,0.8227596017069702,0.5977059005890255
Logistic Regression (SGD),2021-11-12,0.6515,0.6113,0.46689723320158105,0.8134863701578192,0.5932824107983677
Logistic Regression (SGD),2021-11-8,0.6525,0.601,0.4590033434166534,0.8296402877697842,0.5910209102091021
Logistic Regression (SGD),2021-11-11,0.6534,0.6036,0.45989046391752575,0.8237160992498558,0.590241885466198
Logistic Regression (SGD),2021-11-19,0.6633,0.614,0.45922249793217534,0.8244728244728244,0.5898852528686783
Logistic Regression (SGD),2021-11-26,0.6642,0.6165,0.4600167644593462,0.8171530673019655,0.5886517215488577
Logistic Regression (SGD),2021-11-30,0.6749,0.6171,0.4508503401360544,0.8154414026453399,0.5806592925199868
XGBoost,2021-11-30,0.6749,0.7124,0.564366632337796,0.5056905567517687,0.5334198572355613
XGBoost,2021-11-10,0.6485,0.688,0.5639779721412375,0.4953058321479374,0.5274159345652832
XGBoost,2021-11-19,0.6633,0.699,0.559639158035416,0.49747549747549746,0.5267295597484277
XGBoost,2021-11-12,0.6515,0.6907,0.5648148148148148,0.4901004304160689,0.5248117990474728
XGBoost,2021-11-26,0.6642,0.6964,0.5537742150968604,0.4937462775461584,0.5220403022670025
XGBoost,2021-11-9,0.6515,0.6845,0.5540983606557377,0.48493543758967,0.5172149961744453
XGBoost,2021-11-11,0.6534,0.6801,0.5428296438883542,0.48817080207732255,0.514051344371867
XGBoost,2021-11-8,0.6525,0.6745,0.5355987055016181,0.4762589928057554,0.5041888804265042
MLP,2021-11-19,0.6633,0.6521,0.4720558882235529,0.280962280962281,0.3522621485756842
MLP,2021-11-30,0.6749,0.6664,0.4776197998946814,0.2789910796677945,0.3522330097087379
MLP,2021-11-10,0.6485,0.6459,0.49333333333333335,0.2736842105263158,0.3520585544373285
MLP,2021-11-26,0.6642,0.6495,0.4635597421913733,0.27843954734961285,0.347906976744186
MLP,2021-11-11,0.6534,0.6362,0.458614051973051,0.27495672244662434,0.3437950937950938
MLP,2021-11-9,0.6515,0.6343,0.4579667644183773,0.26886657101865136,0.33881757367564636
MLP,2021-11-8,0.6525,0.638,0.4634760705289673,0.2647482014388489,0.336996336996337
MLP,2021-11-12,0.6515,0.64,0.4700988039521581,0.2593974175035868,0.3343195266272189
Linear SVM,2021-11-30,0.6749,0.6741,0.4829059829059829,0.034758535835127655,0.0648493543758967
Linear SVM,2021-11-26,0.6642,0.6645,0.5069767441860465,0.032459797498511016,0.061013154212146654
Linear SVM,2021-11-9,0.6515,0.6499,0.4661016949152542,0.03156384505021521,0.059123891427035745
Linear SVM,2021-11-19,0.6633,0.6632,0.4976303317535545,0.031185031185031187,0.05869200670765791
Linear SVM,2021-11-11,0.6534,0.6528,0.4863636363636364,0.03087132140796307,0.05805751492132393
Linear SVM,2021-11-10,0.6485,0.6459,0.44672131147540983,0.0310099573257468,0.05799414737962224
Linear SVM,2021-11-12,0.6515,0.6491,0.44871794871794873,0.03012912482065997,0.056466792148426995
Linear SVM,2021-11-8,0.6525,0.6509,0.4642857142857143,0.029928057553956836,0.056231413895647474
