,0,Accuracy,Precision,Recall,F1
Time,3/27/2025 20:44,,,,
REC_CNT,10,,,,
PRED_CNT,5,,,,
IS_BINARY,TRUE,,,,
stock_cnt,49,,,,
sample_size,50000,,,,
train_start,11/1/2021 0:00,,,,
train_end,11/2/2021 23:59,,,,
test_start,11/3/2021 0:00,,,,
test_end,11/5/2021 23:59,,,,
Time,3/27/2025 20:42,,,,
REC_CNT,10,,,,
PRED_CNT,5,,,,
IS_BINARY,TRUE,,,,
sample_size,50000,,,,
train_start,11/1/2021 0:00,,,,
train_end,11/2/2021 23:59,,,,
test_start,11/3/2021 0:00,,,,
test_end,11/5/2021 23:59,,,,
XGBoost,,0.70532,0.6812244033328626,0.7718,0.72368914560048
Linear SVM,,0.64994,0.6054816107155921,0.86068,0.7108710375472851
Logistic Regression (SGD),,0.65308,0.6116524681993232,0.8386,0.7073689182805857
MLP,,0.67724,0.6588855421686747,0.735,0.6948646195734381
